"op","dim","gpu","dtype","points","values"
"view","2","A10G","f16","[[-1, 512], [512, 1], [4, 1], [3, 1], [-1, 1024], [1024, 1], [-1, 1600], [-1, 6400], [-1, 1280], [-1, 5120], [-1, 4096]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"view","3","A10G","f16","[[1, 1024, 1600], [2, 1024, 1600], [1, 1024, 1280], [1, 512, 1600], [1, 512, -1], [1, 256, -1], [1, 1024, 1024], [16, -1, 64], [16, 1024, 1024]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"view","4","A10G","f16","[[1, 512, 32, 128], [1, 512, 8, 128], [1, 256, 32, 128], [1, 256, 8, 128], [1, -1, 16, 64], [1, 1024, 16, 64], [1, 16, 1024, 1024], [1, 16, 1024, 64]]","[0, 0, 0, 0, 0, 0, 0, 0]"
"arange","2","A10G","f16","[[0, 512], [512, 1], [0, 1024], [1024, 1], [513, 1], [0, 256], [257, 1]]","[1, 1, 1, 1, 1, 1, 1]"
"unsqueeze","2","A10G","f16","[[0, 1], [1, 1]]","[0, 0]"
"Embedding","4","A10G","f16","[[1, 512, 50257, 2560], [1, 512, 2048, 2560], [2, 512, 50257, 2560], [1, 1024, 50257, 1600], [1, 1024, 1024, 1600], [2, 1024, 50257, 1600], [1, 1024, 50257, 1280], [1, 1024, 1024, 1280], [1, 512, 50257, 1600], [1, 512, 1024, 1600], [8, 512, 30522, 1024], [8, 512, 2, 1024], [1, 512, 512, 1024], [16, 512, 30522, 1024], [16, 512, 2, 1024], [1, 512, 128256, 4096], [1, 256, 128256, 4096], [1, 1024, 50257, 1024], [1, 1024, 1024, 1024], [1, 1024, 96103, 1024]]","[19, 18, 37, 24, 23, 44, 20, 18, 13, 12, 57, 50, 9, 110, 94, 30, 16, 16, 15, 16]"
"add","6","A10G","f16","[[1, 512, 2560, 1, 512, 2560], [1, 512, 10240, 1, 512, 10240], [2, 512, 2560, 1, 512, 2560], [2, 512, 2560, 2, 512, 2560], [2, 512, 10240, 2, 512, 10240], [1, 1024, 1600, 1, 1024, 1600], [1, 1024, 6400, 1, 1024, 6400], [2, 1024, 1600, 1, 1024, 1600], [2, 1024, 1600, 2, 1024, 1600], [2, 1024, 6400, 2, 1024, 6400], [1, 1024, 1280, 1, 1024, 1280], [1, 1024, 5120, 1, 1024, 5120], [1, 512, 1600, 1, 512, 1600], [1, 512, 6400, 1, 512, 6400], [8, 512, 1024, 8, 512, 1024], [16, 512, 1024, 16, 512, 1024], [1, 512, 4096, 1, 512, 4096], [1, 256, 4096, 1, 256, 4096], [1, 1024, 1024, 1, 1024, 1024], [1, 1024, 4096, 1, 1024, 4096]]","[10, 65, 29, 29, 130, 14, 81, 39, 36, 163, 10, 64, 4, 40, 52, 104, 21, 7, 7, 52]"
"add","2","A10G","f16","[[512, 1], [1024, 1], [512, 0], [0, 256], [256, 0], [256, 1], [1024, 0]]","[1, 1, 0, 0, 0, 0, 0]"
"add","8","A10G","f16","[[1, 20, 512, 512, 1, 1, 512, 512], [2, 20, 512, 512, 2, 1, 512, 512], [1, 32, 512, 128, 1, 32, 512, 128], [1, 8, 512, 128, 1, 8, 512, 128], [1, 32, 256, 128, 1, 32, 256, 128], [1, 8, 256, 128, 1, 8, 256, 128], [1, 16, 1024, 1024, 1, 1, 1024, 1024]]","[95, 185, 26, 4, 13, 3, 207]"
"add","4","A10G","f16","[[1.0, 1, 512, 10240], [1.0, 2, 512, 10240], [1.0, 1, 1024, 6400], [1.0, 2, 1024, 6400], [1.0, 1, 1024, 5120], [1.0, 1, 512, 6400], [1, 512, 1, 1e-05], [1, 256, 1, 1e-05], [1.0, 1, 1024, 4096]]","[43, 86, 53, 108, 44, 27, 1, 1, 34]"
"add","3","A10G","f16","[[1, 1024, 2]]","[1]"
"add","5","A10G","f16","[[1, 1024, 1024, 1024, 1024]]","[8]"
